idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH900001949495 cca 119 51 101.12 0.96 P CH Y LM18 LMCHEM900001949495 1999 LM M
CH900001699338 cca 46 5 110.39 0.94 P CH Y LM18 LMCHEM900001699338 1999 LM M
CH900001768430 cca 40 2 87.21 0.89 P CH Y LM18 LMCHEM900001768430 1999 LM M
FR019303691634 cca 77 43 127.23 0.94 P CH Y LM18 LMFRAM900090679280 1999 LM M
CH900001814151 cca 31 3 100.00 0.88 P CH Y LM18 LMCHEM900001814151 1999 LM M
CH900001816582 cca 25 1 93.91 0.84 P CH Y LM18 LMCHEM900001816582 1999 LM M
CH900001768409 cca 38 1 101.94 0.88 P CH Y LM18 LMCHEM900001768409 1999 LM M
CH900001700003 cca 29 3 104.50 0.88 P CH Y LM18 LMCHEM900001700003 1999 LM M
CH900001869373 cca 30 6 95.23 0.88 P CH Y LM18 LMCHEM900001869373 1999 LM M
CH900001948078 cca 63 10 109.13 0.93 P CH Y LM18 LMCHEM900001948078 1999 LM M
DE007677024033 cca 553 258 110.63 0.99 P CH Y LM18 LMDEUM900090875610 1999 LM M
CH900001846961 cca 80 13 107.17 0.95 P CH Y LM18 LMCHEM900001846961 1999 LM M
FR087084204039 cca 66 1 106.47 0.93 P CH Y LM18 LMFRAM087084204039 1999 LM M
